FunctionName	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
Overkiz::Bus::Type::Wrapper<std::string>::deserialize	extern	00000000002E43E4	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<std::string>::serialize	extern	00000000002E45A4	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<std::string>::signature	extern	00000000002E4580	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<uchar>::deserialize	extern	00000000002E41DC	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<uchar>::serialize	extern	00000000002E46AC	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<uchar>::signature	extern	00000000002E468C	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<uint>::deserialize	extern	00000000002E43FC	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<uint>::serialize	extern	00000000002E473C	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<uint>::signature	extern	00000000002E47AC	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<ulong long>::deserialize	extern	00000000002E4018	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<ulong long>::serialize	extern	00000000002E45E8	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<ulong long>::signature	extern	00000000002E4720	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<ushort>::deserialize	extern	00000000002E49C8	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<ushort>::serialize	extern	00000000002E46B0	00000004			R	.	.	.	.	.	.	.
Overkiz::Bus::Type::Wrapper<ushort>::signature	extern	00000000002E4128	00000004			R	.	.	.	.	.	.	.

Overkiz::CborItem::CborItem	extern	00000000002E4304	00000004			R	.	.	.	.	.	.	.
Overkiz::CborItem::getSize	extern	00000000002E4664	00000004			R	.	.	.	.	.	.	.
Overkiz::CborItem::operator int	extern	00000000002E422C	00000004			R	.	.	.	.	.	.	.
Overkiz::CborItem::operator[]	extern	00000000002E4288	00000004			R	.	.	.	.	.	.	.
Overkiz::CborItem::~CborItem	extern	00000000002E45A8	00000004			R	.	.	.	.	.	.	.

Overkiz::Crypto::Base64::encode	extern	00000000002E42BC	00000004			R	.	.	.	.	.	.	.

Overkiz::Errno::Exception::Exception	extern	00000000002E4410	00000004			R	.	.	.	.	.	.	.
Overkiz::Errno::Exception::~Exception	extern	00000000002E413C	00000004			R	.	.	.	.	.	.	.

Overkiz::Event::Event	extern	00000000002E4354	00000004			R	.	.	.	.	.	.	.
Overkiz::Event::entry	extern	00000000002E4270	00000004			R	.	.	.	.	.	.	.
Overkiz::Event::restore	extern	00000000002E4118	00000004			R	.	.	.	.	.	.	.
Overkiz::Event::save	extern	00000000002E4698	00000004			R	.	.	.	.	.	.	.
Overkiz::Event::send	extern	00000000002E4064	00000004			R	.	.	.	.	.	.	.
Overkiz::Event::~Event	extern	00000000002E48CC	00000004			R	.	.	.	.	.	.	.


Overkiz::IoHomecontrol::ActuatorInformation::ActuatorInformation	extern	00000000002E4168	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::ActuatorInformation	extern	00000000002E4478	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::getBackboneAddress	extern	00000000002E4824	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::getData	extern	00000000002E477C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::getManufacturerId	extern	00000000002E46F0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::getMultiInformationByte	extern	00000000002E4A00	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::getNodeType	extern	00000000002E461C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::getTimeStamp	extern	00000000002E46E0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::setBackboneAddress	extern	00000000002E46D0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::setManufacturerId	extern	00000000002E41F8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::setMultiInformationByte	extern	00000000002E45F0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::setNodeType	extern	00000000002E42D4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::setTimeStamp	extern	00000000002E4650	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ActuatorInformation::~ActuatorInformation	extern	00000000002E42E8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ApplicationException::ApplicationException	extern	00000000002E44D4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ApplicationException::getOptions	extern	00000000002E44EC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ApplicationException::serialize	extern	00000000002E4748	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ApplicationException::~ApplicationException	extern	00000000002E44D0	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::Acei::Acei	extern	00000000002E4378	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Acei::Acei	extern	00000000002E4524	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Acei::getPriorityLevel	extern	00000000002E46D4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Acei::getValue	extern	00000000002E43B8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Acei::isValid	extern	00000000002E4900	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Acei::~Acei	extern	00000000002E4040	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::Command	extern	00000000002E43CC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Command	extern	00000000002E4408	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::Command	extern	00000000002E4750	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::addParentInternalUID	extern	00000000002E43B4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::addParentInternalUIDs	extern	00000000002E4660	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::canBeOverwritten	extern	00000000002E4780	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::getAccess	extern	00000000002E4790	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getAcei	extern	00000000002E4414	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getAddress	extern	00000000002E4508	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getCategory	extern	00000000002E415C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getDelay	extern	00000000002E49D8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getDetailedError	extern	00000000002E401C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getExecutionTime	extern	00000000002E4318	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getId	extern	00000000002E44B4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getInternalUID	extern	00000000002E4298	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getOriginator	extern	00000000002E47F8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getParameterId	extern	00000000002E4004	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getParentInternalUIDList	extern	00000000002E4134	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getParentNumber	extern	00000000002E44BC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getPreviousStatus	extern	00000000002E44FC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getPriority	extern	00000000002E431C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getStatus	extern	00000000002E4708	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getValue	extern	00000000002E4424	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::getValueType	extern	00000000002E4404	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::inheritParentsFromCommand	extern	00000000002E4238	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::isFinalStatus	extern	00000000002E4314	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::setDelay	extern	00000000002E41F0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::setDetailedError	extern	00000000002E417C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::setStatus	extern	00000000002E402C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::setValue	extern	00000000002E4160	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Command::toString	extern	00000000002E4624	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Command::~Command	extern	00000000002E4190	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::DetailedError::DetailedError	extern	00000000002E403C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::addErrorField	extern	00000000002E4248	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::addErrorField	extern	00000000002E495C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::addErrorField	extern	00000000002E49E4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::addOrUpdateErrorField	extern	00000000002E4254	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::getAdditionalInfo	extern	00000000002E423C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::getErrorCode	extern	00000000002E483C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::getErrorFields	extern	00000000002E49D0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::setAdditionalInfo	extern	00000000002E4088	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::setErrorCode	extern	00000000002E44C0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::setErrorFieldsToString	extern	00000000002E42F8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::toString	extern	00000000002E4A10	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::DetailedError::~DetailedError	extern	00000000002E4930	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4058	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E41C8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4264	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4438	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E44E8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4628	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4678	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4704	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E4728	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::ErrorCode	extern	00000000002E47F0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::getErrorId	extern	00000000002E4048	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::getErrorType	extern	00000000002E41F4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::operator != extern	00000000002E4008	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::operator == extern	00000000002E4178	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::setErrorCode	extern	00000000002E4130	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::setErrorCode	extern	00000000002E4538	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorCode::~ErrorCode	extern	00000000002E44A4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorFieldU32::ErrorFieldU32	extern	00000000002E4588	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorFieldU32::~ErrorFieldU32	extern	00000000002E46A0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorFieldU8::ErrorFieldU8	extern	00000000002E4680	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorFieldU8::~ErrorFieldU8	extern	00000000002E4740	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorFieldU8Vector::ErrorFieldU8Vector	extern	00000000002E4100	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::ErrorFieldU8Vector::~ErrorFieldU8Vector	extern	00000000002E45D0	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::EmptyKeySet::EmptyKeySet	extern	00000000002E429C	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Group::Group	extern	00000000002E45D4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Group::Group	extern	00000000002E4850	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Group::getId	extern	00000000002E480C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Group::getProtocol	extern	00000000002E454C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Group::~Group	extern	00000000002E41A4	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::IoBlob::IoBlob	extern	00000000002E421C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBlob::IoBlob	extern	00000000002E43A0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBlob::IoBlob	extern	00000000002E45F8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBlob::getValue	extern	00000000002E47BC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBlob::~IoBlob	extern	00000000002E453C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBool::IoBool	extern	00000000002E4488	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBool::getValue	extern	00000000002E41A8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoBool::~IoBool	extern	00000000002E4394	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoByte::IoByte	extern	00000000002E4668	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoByte::getValue	extern	00000000002E4640	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoByte::~IoByte	extern	00000000002E45C0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoDouble::IoDouble	extern	00000000002E3FF4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoDouble::getValue	extern	00000000002E40F4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoDouble::~IoDouble	extern	00000000002E49EC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt16::IoInt16	extern	00000000002E46D8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt16::getValue	extern	00000000002E40A8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt16::~IoInt16	extern	00000000002E469C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt32::IoInt32	extern	00000000002E489C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt32::getValue	extern	00000000002E466C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt32::~IoInt32	extern	00000000002E499C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt64::IoInt64	extern	00000000002E409C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt64::IoInt64	extern	00000000002E49E8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt64::getValue	extern	00000000002E4764	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoInt64::~IoInt64	extern	00000000002E46C0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoNull::IoNull	extern	00000000002E42D8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoNull::~IoNull	extern	00000000002E49FC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoString::IoString	extern	00000000002E484C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoString::getValue	extern	00000000002E4754	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoString::~IoString	extern	00000000002E463C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt16::IoUInt16	extern	00000000002E437C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt16::getValue	extern	00000000002E487C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt16::~IoUInt16	extern	00000000002E485C	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt32::IoUInt32	extern	00000000002E4694	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt32::getValue	extern	00000000002E4724	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt32::~IoUInt32	extern	00000000002E4730	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt64::IoUInt64	extern	00000000002E41D8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt64::IoUInt64	extern	00000000002E43C4	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt64::getValue	extern	00000000002E3FE8	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::IoUInt64::~IoUInt64	extern	00000000002E4090	00000004			R	.	.	.	.	.	.	.

Overkiz::IoHomecontrol::Node::Node	extern	00000000002E4188	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Node::Node	extern	00000000002E4428	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Node::getBackboneAddress	extern	00000000002E4574	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Node::getGeneralInfo1	extern	00000000002E40F0	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Node::getGeneralInfo2	extern	00000000002E48DC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Node::getId	extern	00000000002E47CC	00000004			R	.	.	.	.	.	.	.
Overkiz::IoHomecontrol::Node::getKey	extern	00000000002E4838	00000004			R	.	.	.	.	.	.	.
